name,party,state,constituency
BISHNU PADA RAY,Bharatiya Janata Party,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
KULDEEP RAI SHARMA,Indian National Congress,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
MANOJ PAUL,Andaman Nicobar Democratic Congress,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
D AYYAPPAN,Communist Party of India (Marxist),Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
V.K. ABDUL AZIZ,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
RINKU MALA MONDAL,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
K VENKAT RAM BABU,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
USHA KUMARI,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
ANAND RAMNATH ARLEKAR,Independent,Andaman & Nicobar Islands,Andaman & Nicobar Islands - 1
G M HARISH (BALAYOGI),Telugu Desam,Andhra Pradesh,Amalapuram (SC) - 7
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Amalapuram (SC) - 7
GOUTHAM JANGA,Indian National Congress,Andhra Pradesh,Amalapuram (SC) - 7
DORABABU YALLA,Bahujan Samaj Party,Andhra Pradesh,Amalapuram (SC) - 7
KATRU NAGA BABU,Telugu Nava Garjana Party,Andhra Pradesh,Amalapuram (SC) - 7
VADDI LALITH KUMAR,Independent,Andhra Pradesh,Amalapuram (SC) - 7
MAKEY DAVY PRASAD,Independent,Andhra Pradesh,Amalapuram (SC) - 7
GUDE VENKATESWARULU,Independent,Andhra Pradesh,Amalapuram (SC) - 7
RAMESH JILLELLA,Jatiya Jana Sena Party,Andhra Pradesh,Amalapuram (SC) - 7
YALANGI RAMESH,Jaibhim Rao Bharat Party,Andhra Pradesh,Amalapuram (SC) - 7
MATHA KRISHNA,Pyramid Party of India,Andhra Pradesh,Amalapuram (SC) - 7
GIDDI JNANA PRAKASA RAO,Republican Party of India,Andhra Pradesh,Amalapuram (SC) - 7
YADLA RAJESH,Liberation Congress Party,Andhra Pradesh,Amalapuram (SC) - 7
KAPA KALYAN,Republican Party of India (A),Andhra Pradesh,Amalapuram (SC) - 7
PATHURI RAMESH,Peoples Party of India (Democratic),Andhra Pradesh,Amalapuram (SC) - 7
C.M.RAMESH,Bharatiya Janata Party,Andhra Pradesh,Anakapalle - 5
BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Anakapalle - 5
VEGI VENKATESH,Indian National Congress,Andhra Pradesh,Anakapalle - 5
PALAKA SREERAMA MURTHY,Bahujan Samaj Party,Andhra Pradesh,Anakapalle - 5
VANKAYALA RAMACHANDRA RAO,Independent,Andhra Pradesh,Anakapalle - 5
LOVARAJU SIDDHA,Independent,Andhra Pradesh,Anakapalle - 5
KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,Andhra Pradesh,Anakapalle - 5
GARA SURYA RAO,Independent,Andhra Pradesh,Anakapalle - 5
APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Anakapalle - 5
NAGESWARA RAO PETLA,Independent,Andhra Pradesh,Anakapalle - 5
ADARI SARAT CHANDRA,Jai Bharat National Party,Andhra Pradesh,Anakapalle - 5
VIJAYA LAKSHMI KARRI,Pyramid Party of India,Andhra Pradesh,Anakapalle - 5
DR. THUMMAPALA HARI SHANKAR,Independent,Andhra Pradesh,Anakapalle - 5
JUNNURI J SRINIVAS,Independent,Andhra Pradesh,Anakapalle - 5
APPALANAIDU TUMMAGUNTA,Independent,Andhra Pradesh,Anakapalle - 5
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,Andhra Pradesh,Ananthapur - 19
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Ananthapur - 19
MALLIKARJUNA VAJJALA,Indian National Congress,Andhra Pradesh,Ananthapur - 19
G.V.RAMANA REDDY,Independent,Andhra Pradesh,Ananthapur - 19
BANASI NARAYANAPPA,Bahujan Samaj Party,Andhra Pradesh,Ananthapur - 19
V.MURALI PRASAD REDDY,Independent,Andhra Pradesh,Ananthapur - 19
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,Andhra Pradesh,Ananthapur - 19
M.SURENDRA,Pyramid Party of India,Andhra Pradesh,Ananthapur - 19
U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Ananthapur - 19
P.CHOWDESWARI,Independent,Andhra Pradesh,Ananthapur - 19
VADLA KESAVAIAH,Independent,Andhra Pradesh,Ananthapur - 19
B.RAGHAVENDRA PRASAD,Independent,Andhra Pradesh,Ananthapur - 19
KETHIREDDY RAGHUNATHAREDDY,Independent,Andhra Pradesh,Ananthapur - 19
LOKANATH GOWD SURAGOWINI,Independent,Andhra Pradesh,Ananthapur - 19
SREERANGARAJULA GOPINATH ROYAL,Independent,Andhra Pradesh,Ananthapur - 19
SHAIK.NIZAM,Samajwadi Party,Andhra Pradesh,Ananthapur - 19
RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,Andhra Pradesh,Ananthapur - 19
KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,Andhra Pradesh,Ananthapur - 19
